id,sex,year,week,date,sample_county,north,east,survey_county,m_north,m_east
BI080013,Hona,2012,34,2012-08-20,Dalarnas län,6789215,495586,Dalarnas län,6790109.111111111,494505.1111111111
BI080015,Hane,2012,37,2012-09-15,Dalarnas län,6748450,517205,Dalarnas län,6751878.2,511571.7
BI080015,Hane,2012,37,2012-09-15,Dalarnas län,6743040,513788,Dalarnas län,6751878.2,511571.7
BI080080,Hane,2012,37,2012-09-16,Dalarnas län,6783871,535137,Dalarnas län,6783871,535137
BI401082,Hona,2012,37,2012-09-15,Dalarnas län,6869729,373516,Dalarnas län,6870877.888888889,367229.22222222225
BI080081,Hona,2012,38,2012-09-20,Dalarnas län,6743762,546540,Dalarnas län,6744949,547007.8571428572
BI080023,Hona,2012,38,2012-09-19,Dalarnas län,6771210,531808,Dalarnas län,6766088,531793.7
BI080014,Hane,2012,38,2012-09-19,Dalarnas län,6716791,433960,Dalarnas län,6724977.294117647,413678.8823529412
BI080072,Hona,2012,37,2012-09-16,Dalarnas län,6744529,462791,Dalarnas län,6741399.666666667,464624.6666666667
BI080020,Hona,2012,37,2012-09-12,Dalarnas län,6771201,533585,Dalarnas län,6771373.2,531805
BI400258,Hona,2012,37,2012-09-10,Dalarnas län,6805294,391081,Dalarnas län,6805294,391081
BI080167,Hona,2012,37,2012-09-15,Dalarnas län,6887185,377432,Dalarnas län,6887185,377432
BI080014,Hane,2012,34,2012-08-22,Dalarnas län,6797237,457789,Dalarnas län,6724977.294117647,413678.8823529412
BI401082,Hona,2012,37,2012-09-10,Dalarnas län,6865649,362908,Dalarnas län,6870877.888888889,367229.22222222225
BI080082,Hona,2012,37,2012-09-13,Dalarnas län,6808777,477462,Dalarnas län,6810093.5,476374.5
BI050220,Hane,2012,37,2012-09-12,Dalarnas län,6828108,415536,Dalarnas län,6828108,415536
BI080082,Hona,2012,37,2012-09-14,Dalarnas län,6811410,475287,Dalarnas län,6810093.5,476374.5
BI080015,Hane,2012,34,2012-08-24,Dalarnas län,6780172,498451,Dalarnas län,6751878.2,511571.7
BI400238,Hane,2012,38,2012-09-19,Dalarnas län,6825371,391780,Dalarnas län,6782282.285714285,393228.85714285716
BI080028,Hona,2012,38,2012-09-19,Dalarnas län,6833664,407998,Dalarnas län,6836811.25,414274.5
BI080020,Hona,2012,38,2012-09-20,Dalarnas län,6773289,532867,Dalarnas län,6771373.2,531805
BI080083,Hane,2012,38,2012-09-20,Dalarnas län,6773878,535667,Dalarnas län,6773261.6,534978.4
BI080084,Hane,2012,38,2012-09-22,Dalarnas län,6699066,478396,Dalarnas län,6717260.421052632,462826.8947368421
BI080085,Hona,2012,38,2012-09-17,Dalarnas län,6781822,520530,Dalarnas län,6779088.666666667,524175
BI400230,Hane,2012,34,2012-08-22,Dalarnas län,6776576,379303,Dalarnas län,6772278.461538462,382164.92307692306
BI080086,Hane,2012,38,2012-09-20,Dalarnas län,6726389,414484,Dalarnas län,6729439.666666667,411448.1666666667
BI080075,Hane,2012,38,2012-09-21,Dalarnas län,6716082,511085,Dalarnas län,6717643.285714285,509990.78571428574
BI040521,Hane,2012,38,2012-09-22,Dalarnas län,6745749,404593,Dalarnas län,6745749,404593
BI040654,Hona,2012,38,2012-09-23,Dalarnas län,6761669,527086,Dalarnas län,6759482.375,528088.375
BI080029,Hona,2012,38,2012-09-20,Dalarnas län,6734872,452533,Dalarnas län,6738549.416666667,452759
BI080089,Hane,2012,37,2012-09-16,Dalarnas län,6755957,457710,Dalarnas län,6761381.333333333,456586.6666666667
BI080048,Hona,2012,38,2012-09-23,Dalarnas län,6749583,436888,Dalarnas län,6759107.636363637,433822
BI080089,Hane,2012,38,2012-09-23,Dalarnas län,6764563,456772,Dalarnas län,6761381.333333333,456586.6666666667
BI060038,Hane,2012,34,2012-08-22,Dalarnas län,6870894,385895,Dalarnas län,6859065.333333333,388236.6666666667
BI080090,Hona,2012,38,2012-09-21,Dalarnas län,6747461,460948,Dalarnas län,6749997.444444444,458818.44444444444
BI080224,Hona,2012,38,2012-09-23,Dalarnas län,6775331,532938,Dalarnas län,6769683.2,537959
BI080043,Hane,2012,38,2012-09-22,Dalarnas län,6761168,496103,Dalarnas län,6762385.333333333,498977.6666666667
BI080091,Hane,2012,38,2012-09-23,Dalarnas län,6740595,451874,Dalarnas län,6742193.666666667,450431
BI080025,Hane,2012,38,2012-09-23,Dalarnas län,6754203,488766,Dalarnas län,6763177.142857143,487540.14285714284
BI080092,Hona,2012,38,2012-09-22,Dalarnas län,6775014,529246,Dalarnas län,6778020,528699
BI080093,Hane,2012,38,2012-09-23,Dalarnas län,6746437,538091,Dalarnas län,6741017.142857143,543401.5714285715
BI080094,Hona,2012,38,2012-09-23,Dalarnas län,6748776,537483,Dalarnas län,6748152,537530.5
BI080063,Hona,2012,38,2012-09-17,Dalarnas län,6750162,406758,Dalarnas län,6754085.666666667,421873.6666666667
BI080021,Hona,2012,38,2012-09-21,Dalarnas län,6732475,438858,Dalarnas län,6733391.947368421,443864.5263157895
BI080095,Hona,2012,38,2012-09-18,Dalarnas län,6844109,390821,Dalarnas län,6842747,386206
BI080015,Hane,2012,38,2012-09-23,Dalarnas län,6742798,511434,Dalarnas län,6751878.2,511571.7
